Comments,Sentiment
uba mona ponnayekda yako,Neg
asadaranayak une nangiya,Neg
first computer virus eka gena video ekak genna,Neu
 oya tharam minissuge hadawathata yana vidiyata katha hadana katha mawana kenek harima adaraniyayi oyage kata hada kohe ahunath mata adunana puluwana tharamma oyage voice akata mama adarei ,Pos
lassanai suba pathanawa,Pos
pain gahal alawapan,Neg
thirusha ayiya superb adambarai aiye ape ekek oma innakota,Pos
kumari akke oyanam harima hoda kenek ane oyata godak adare man oyage jiwithe godak lassana wewaa,Pos
anith ayatath harenn thibune,Neu
coach ksn gawata giya kiyanne ithin godama thamai,Pos
santhush lagadima kanawa hoda keemak,Neg
obawahansege kathawa sampurna aththa upan ratata adare nathi minissu ammatawath adare na hamuduruwane,Neu
shashika hodai nam kalin harena epai ane kawruth harenakan inne nathuwa harena next time plz ,Pos
aiye ureniwa interview karanna,Neu
venasak karala digatama q amp a karan yamu priyadarshana ayye,Pos
oya kiyana hema dekatama man ekagaii oya wagema eda idanma mamath hambayamge bowemata eka helama viruddai ,Pos
pissu hadenawa akke oyai oyage sinduwai,Pos
koheda broo hangila idiye patta apitath gammack game hinda gayawewaa,Pos
obawage ayathamai desapplanaya ta ona,Pos
niyamai diriya mawak mage amma wage budu saranai,Pos
kawda bun meka dislike karanne adu kule para haththa,Neg
 kiyanna deyak na mula indan danna polawe paya gahala innawa boru Posh nathi charithayak respect brother ,Pos
hamaduruwane oba wahanse me ratata koi taram watina kenekda kawrut mehama hitanawanm koitramda,Pos
comment balannai awe ,Neu
sinduwa patta video eka melo rahak na,Neu
 mehema innawa neda kiyala ,Neu
apo video nm melo vadak na,Neg
ane pala kawata nariya,Neg
ochchara loku phone ganna salli na mama laga thiyenne redmi note ekak ,Neg
sinduwa download karala car eka pen ekata dagatha y,Pos
niyamai owa thamai hamuduruwane kiyanna ona,Pos
 star eketh hitiya dane voice eketh innawa apita ,Neu
aiyye mun danna sinhala kama mun degolloma rata aurudu vinasa kala sudussa hitanna ona marena minihek kiyala mun okkoma me rata vinasa kala kalakanni,Neg
kauru mona kiuwath api adare karana manissayak oya aiya,Pos
mun unge natiyai me rata jatiya agama sinhala kama miniskama muslim untat demala untat chinetay amarikawatat pawadi iwarai modalata balayata tan hawe hitapalla,Pos
mun rata gana naeme hithanne anunge kunu sodanna aopa thamange kunu sodaganna balanna maeyage akama hine janapathi putuwe idaganna aka ,Neg
moko ekaparatama phone review karanna hithuwe,Neu
balapallako monawa kiuwath ape sinduwak thalayak ahena kota ena gamma loke kohewath nathuwa athi ape wachana wala athi therum saha lassana,Pos
uba mara nihata mani awankaea katha karana ,Pos
dewiyan wisin oba mawaa aththe minisunta yamakh denna eya hama daama denna obata jaya,Pos
aiye matath ekak hada ganna oni,Neu
meya hoda kenek,Pos
sadda natiwa hitiyata kasun maara point allanne ,Pos
oyage chanal ekata me gani genawe ai aiyoo shit,Neg
waw man asai meyage kusalathawayata,Pos
radio eke arava ahanawa wagemaii den une forwarded karanne nethiwa balapu ekma video eka jayawewaa ,Pos
kawruth nohithana aadarshamath pudgalayek wish you all the best aiyh ,Pos
ei e kollata ehema kale pichin hadanna cotchlata puluwanne salliwalatama vikinuna,Neg
mkdda yko e unee liyathabara ,Neu
ape hamuduruwane anya agamikawanta apahasa karanna epa ehema dewal bauda darshane naha ,Neg
bumi akka oya nam shok man oyata godak adarei oya godak hodai buddimath,Pos
ratak watina puthek,Pos
yohani audience eke innawa dakke thawa kauda,Neu
 mona uanath aeththa kiyanawa,Pos
redmi gana review karata thanks ayiyah puluwannam oka realme c ekka compeya karala video ekakuth dannakoo ,Pos
kawalam untalu ratagena kekkumak nertheeka artha thamange harda sakshiya ekagawa hithapan wetahevi thopita sinhalune denwarth muslim kada warjanaya karapiyau,Neg
redda baniyama andat horune inne uncle,Neg
 para ballo ne mewa balane,Neg
aney honda kellek coach shashika thoragatta ekanam niyamai eya dannawa eyata galapena kena,Pos
thank you aiye thadiyage video ekata,Pos
monade kalath thibena thuru jiwithe oba nathuwa inna be wasthuwe song a eka lassanai,Pos
pc guid chanel eken mona video eka dammath api oyath ekka innawa,Pos
brother ubai thadii denna super bn,Pos
yako liyathabara hodai okkotama wada,Pos
eanam pita ratawalin mukuth gonna epa ponnaya eaka one salli one ,Neg
aiyee phone sale karanwada,Neu
oba wahansagay katawa ahandath mata asai,Pos
kese vethath oba vahansege karunu hitha niveradhi,Pos
meke steal eken thimirath gyd,Neu
supiri malli idiriyata yanna suba pethum,Pos
meka harinam m gahanna one ,Pos
ape rate un kohe giyath jara minisu kathai etapase arabi jathiyanta palu arinawa ,Neg
meka unlike kere moda minissuth innwa neda deparak ahuwa kathawe yatipaththan gnna dewal godak tgiyawa,Pos
ane kata handa harima lassanay,Pos
obathumama ehema deyak plan karala eda gedarin pita unada kawda danne mokada desapalakayo prasiddiya wenuwen onema deyak karanawane,Neg
gobba audience eka clap ekak thaleta dipiya,Neg
kelin kathakaranwa eka patta,Pos
thopi kapuwa dan anduwa renawa,Neg
aiye ai hamoma amd gahanne,Neu
mamat maga duwat akka tani wala hitiya gahaniyak mahattayagan ain wanakota duwata aurudu dan aya lassana pull jivitayak gata karana ,Neu
meya hinda jiwite hdagtta mn mn dakapu niyma manussek arawinda aiya,Pos
thada thada machoo ,Pos
music band ekanam supiri ban,Pos
hadawathata katha karana katahandak,Pos
ow ow okkomala weradi nagananda witharai honda mokek da me manasika rogiya,Neg
superb oya supiree kawuru unath godaak hodata katha karanawa thithth aththa,Pos
apoo hodata baya wela dan mahaththaya eda parliament eke kiwwe ara innawa apatheyek kiyala onna ohomai thamai eda katha kele dan meki bayawelaa,Neg
coucheslata baninawa nam hariyata denagena katha karana aka nuwanata hurui,Neg
man asama song ekak harima lassanata kiwuwa,Pos
baya wela wage,Neg
ayye oya dan itn channele ekethn innawane,Neu
skip nokara balapu vidieo atharata ekathu wu waga ikiyapu hamadema ganna puluwan dewal godak e charithe athule thiyenawa gidak sthuthi aiyye,Pos
gon wesi uba honda baduwak kiyala dannawa,Neg
yako rajapassa pawulama palhoru mewage modayo sakacha walata genna epa,Neg
man asa kenk kelin katha krnwa,Pos
mara hadak sinhala sangithe anagathe rakagatha haki lalithyak,Pos
kathawa niyamai hamuduruwane,Pos
aye uba salli godak aran gobba biuld ekak haduwaneh paw oii ohoma karanna ohoma salli ganna low spec builds hadanna,Neg
mehema dakiddi ammawa mathkwela andenwa dura rataka inne amma duk vinda api hdnna loku tanwlta ywnna papuwa pupurla hlenna tarn wednai ammwa blnna ynna oni ikmntma,Pos
ettatama gennanna wena un nedda,Neg
eken ma anna ehama tamai inna oni parana unu malu aye kanna epa aluth malu kellak hoya ganin godak hodai,Pos
marama lassanai voice aka kiyanna wachana na super jaya wewaa,Pos
mamanam harima aasai ta jaathi aagam minissu hadagatthu dewal api hithanna oni api kawruth minissu kiyala matanam kiyanne sahodarayek hemoma ahema hithanna,Pos
supiri kellek adambarai,Pos
tika danak karana waradi walata samastayatama garahana aka waradi maga mataya,Neu
oyawa contact karganne kohmada matah build ekk krnn oni,Neu
maru set ekak ne inne,Pos
wow lassana katha bahak suba pathanawa oyala dennatama idiri gamanata ,Pos
 aiya congratulations api marena minissu kiyala hithanna kamathi nathi jathiyak hinda thamai waradune,Pos
sinduwa patta video eka melo rahak ne iya bn epa una,Neu
system ekak hadala math karanna kamathiy help karanna puluwanda miliyan wage investment ekak kaloth athida mulin,Pos
kiyanna wachana na salli walata ganna ba kathakarapu hema wachanayakma mama udetath ahanawa siyata radio eka deergayusa lebewa theruwan saranai,Pos
dan nam coach kasunta wade hari gihin aniwa waddekne ithin ,Pos
kamathima kenek e vage jock karana kenek fm vala thama dakala na,Pos
gon ranjagas wate karakena pichan moda naluwa,Neg
kalekin q amp a ela ela,Pos
 ape maathru boomiya rake ganna were darana oba wahanseta deergausa labewa theruwan saranai ,Pos
hari tv umbawa unscribe kara anunge kunugodawal dannathuwa wadagath deyak dapan nathnam oke nama wenas karapganin linda langa samgamey kiyala,Neg
oka hema sathiyama thiyanawanam dawas amathaka wenneth ne,Pos
oyage adahas me smare harakta godak watinawa bumi oyawa aya blaporothu wenawa bumi,Pos
wehi nethi hena gahanda kiyala saapa karanne koheda neethiya me rate ape ratata monawada me wenne,Neg
malli kiyawenne bokkenma katha karanakota,Pos
mata hambune malagedarka yaluwagen eda idan adatath patta asa kollek,Pos
mage hithata anuwa niyama kollek kiyanne pitin rasthiyadu penumak athulanthayen manussakama pirunu hithak jaya wewa malli,Pos
supiri akke pattama gathi,Pos
nice song ekak obata daladaa samidunge pihity,Pos
ma pissu gani ma monawada samajata awetha diga harinna mun waga ganu gana monwada ratta gainnathiyana adarse,Neg
asama niwadakaya ara,Pos
vijaye nandasiri wage nikn methuma nadda,Neu
bala senesenu misa nela gatha neheki sihina,Neu
ayyoo appoo mewage kaali genath wadasatahana sawththu karanna epoo,Neg
video ekath hodai sinduwath hodai galapimak nane,Neu
adarei deepti mama hugak agaya karanawa obawa,Pos
meka aniwa trending enawa,Pos
la wage podi un allan magul natanne nathuwa hodata inna niliyak,Pos
godak watina ayeei ,Pos
shashika missge general knowledge eka ,Pos
dena eke denawa ekanma patta brother ,Pos
mun travel keranne muge thaththa billion ganan horekam kerepu salli welin thama,Neg
baudha ratak kiyala piliganne ne,Neu
 oya niyamai oayage date with programe eka niyamai,Pos
mama me ayya ekka selfiyakuth gahuwa,Neu
kochchara baluwath epa wenne na,Pos
wellgama ratata onna gothabaya aariya sinhala kamata sudu van meta wada honda nedda ,Neu
oba vahansay wage tava namak hitiyanam sinhala jatiya itiriwai,Pos
hirran omkarge wife pawle okkama awillada mekata ,Neu
al eke maths karanam exam eke fail unath life eke pass wenne puluvang maths tunes our brain,Pos
welgama me comment balalawath pattakata wela inna depita kattuwa,Neg
kasun kiyaddi papuwa pichchila giya aya tawa innawada,Pos
anushka ayya thadiya ayya adarei thadiya kiuwe adret saho,Pos
niyama charithayak thamai ,Pos
manasika leddu hema jatiyema innawane ,Neg
meyat issella hoda kolukarayek ekai meya dagalanne kasada bandanam ivarai ,Neg
next part eka danda plz ikmanata naththan maranawa ,Pos
umali thilakarathnawa gennanna if u can,Neu
 mis panapowana ekanam dennawa supireyata karala ,Pos
shashikage voice ekanam patta ,Pos
harima asawen baluwe hemadamath adarei budusaranai,Pos
sport chain kiyana business eka gena pahadili karanna puluwanda bro,Neu
mokalda ranjan karala thiyana prakashaya mokakda,Neu
api gdk asawen lahiru and ashen ge program baluwe dnnam epa una ,Neg
rataka janadipathi wenna penumakwath thiyenda  mona hipatuwekda mounta kauda denne penawane mekath ranilai sirai wagema kaswatuwek,Neg
edekin withark kisima therumak nane bn iyaa mewata kagen asirwdadada danne na e madiwata dalada hamuduruwath allan lajja nadda oi shik thu,Neg
mage asama song ekak ,Pos
aiye ara aluth pny graphic card gana review ekak karanna,Neu
muslim minissu sunnath karanne kaduwenda ounge kapanna oni beli,Neg
ou itin koi akith mune walawal tika wahala gathtama mekup eka dala onema gonekuta lassanai me gona wage,Neg
ane palayan yanna tota one rata nawai,Neg
sinhala minissunge gewalwala kadu nedde cheking karama penawa,Neu
lakshayk thibbanam geyak hadanawa,Neu
me manussayawa wedasatahanakata genna hithuna akama koi tharam deyakdamn asama kawadawath me wage interview akakata awi kiyla hithune nethi supirima weddek thnx gd job,Pos
janathawa hadawathinma aadare karana kalakaruwek ha ratata watina keanek thama obathima ,Pos
malini bulathsinhala mahathmiya kasunge ammada ane adane danne adarei kasun eyage kondee shok,Pos
niyamayii thirusha aiyee ,Pos
bathiyage comment eka nisai wenas une kolla ,Neu
eka nm pissuwak niyamai ,Pos
ane waasanawan nudun deke niwan dakinna saho,Pos
mona karumada yako mewa,Neg
attatama oba nihathamani charithayak pahadiliwa kiyanawa suba anagathayak bs,Pos
 mada gahanna epa yako minissunta me manussayata paduwe inna dipalla,Neu
apa saduga katavata man garu karanava obata budu saranai,Pos
athi yantm  meka iwawena apriyai meka,Neg
kuwet kumare akka huga dawasken oya paw ane oya sathuten enna,Neu
oho anunge button gahana eka hoda wadak nevi,Neg
jiwithe sangithayak karagenima waradak nemei ratagiya samahara geenu natana netum ragana regum mamath dannawa ape rate jathiye nama kanawa ,Neg
visual eken sinduwe apita ahaddi danena menaning eka wenas unaa supirii,Pos
daanakam balagena hitapu ekama programe eka wasthi nisaa maru,Pos
kiyanna wachana na marama lassanai ,Pos
dewiyange namayen sinhalayan ekamuthu wiya yuthui,Pos
budu saranaigodak hoda adarshamath mawak akke oya,Pos
me program eke inn hnda views ynw anth ewata wadiya yna hama program ekkm views wadi dawasen ,Pos
marama daksha lady kenek suba pathum oyata,Pos
gon chira ponnaya ubata uba gana terun ganna barida aaha paya veesi karala pakayek wrnna epa,Neg
irajge katawa atta,Pos
bohoma watinawa ape hamuduruwane oba wahansege kathawa supiri,Pos
bhumee kiyanne asa charithayak hoda samajeeya danumak saha adyapanika danumak thyana kenek,Pos
kasun sir mara athal denne appa ,Pos
mewa mehema itame saralawa pahadili karanewata stuti sahodaraya apita wenne yane de dannati kenek hari terum ganibudu saranaysiyalu devi phitay,Pos
video eka aththatama baluva nemei video eka ahauva,Pos
sinduwata oya video eka gelapenne ne aiyoo man balan hitiye me sinduwata hoda video ekak ei kiyala eth me video ekanm wedakma neh ita wada hodai ara indian film ekaka kotas dala hadala thiyena video eka,Neg
ponna ranja thota hena hathama gahapiya,Neg
ayya autocad software eka podi review ek karanako,Neu
niyamai ethakota kali upgrade karanna ona ne,Pos
price eka kiyada kiyala dala na na kohewath,Neg
sudu banda adambarai oba gana ahan enna asai katakaranawa,Pos
man kauda kiyala wisthara hoya hoya hitiye me kauda basha thunama hodata kiyana kolla ,Pos
mdumadawa kiyanne harima boru kywaru karayek,Neg
oya godak kettu wela lassanai ,Pos
priyadarshana aiya itn ekata awillath amuthu gemak denna wage yanne,Neu
balla mallen eliyata paninawa kiyanne okata thamai oyath bata hira kontraththuwak adinawada,Neg
ranjan kiyana eka waraddakuth nah samahara pansal wala oya siduweim wenawa,Pos
aa shashika mn nm hithuwema kasunge team ekata yai kiyala good choice,Pos
pudum me kollata wenawada,Neu
sinduwa lassanai eth wena hithak kere luhu badan mama giye kiyala song eke kiwwata oya wena girl kenek eka affair ekak me video eke naha ne naha song eka lassanai all the best,Pos
sirasata godak thanks apita aluth rasa vindanayak laba denawata dakshathawatata ida niyamai sirasa,Pos
thamanta obanda ekak thiyeddi anunge eka obana eka umariya puruddata karanawada manda,Neu
astrix miing machine oya laga thiyeda,Neu
palawei wachana peliya ahala song eka pause karala ,Neu
wow battle walin kapanna epa,Neu
wadasatahana iwara wunama ade iwara wunane kiyala hithune mata witharada,Pos
good job ayiye,Pos
adupaduwak dakke naththam hari yoko,Neu
mama kamathima niliya oya oyata budusarani duwatath budusaranai jaya wewa,Pos
amathilath hodai ubath hodai,Pos
sathuta kiyanne kema ammoo thadiyaa,Pos
hairstyle ekanam pattaa ,Pos
ane me pol kariya,Neg
lassana hithak thiyena manussayek,Pos
gonek genalla uba mokedda huttho,Neg
eka note ekakwath mistake nthuwa baking krna set eka dnwath pennapnko cameraman ayye ,Pos
oya kiparak oka record karada,Neu
ara dekka first time program eka,Pos
godak satutui kumari akka hodin kalaya gawanna budu saranai,Pos
hena gahanawa yako mita wada monawada,Neg
mokatada me kunu ani apitanm apa,Neg
aape jaanawala waradi ape deta garahiima api aa gana kanagatui wiya uuthui wijaya kumarathnga aapa atharin wan unath upandinayath rasikayo samaruwa dan inna dashapaluwo marunama walath a minissu hena illanawa,Neg
mata nam me malli ada sing kara anith hamotama wada hodatama sing kara,Pos
oyawa contact kragnn vidihak kiynnakoo email hri mokk hri plzz agent wadakta,Neu
kasun lagadi idan hiniyata drink ekak dala enne kiyala theruna aya ,Neg
lassanai akkiyo balanna beri adana song athare balanna puluwan video ekak,Pos
me sare voice ake finely anta loku gemak denta we awa mokada hamoma daksayo ,Pos
ranjan karapu waradda mokakda yako paliganne unge hora wada aliwena handa,Neg
 awurudu ka paadam igenaganne nethi gobbaya porawal wenna gihin anthimata lejja welai nawathinne maha rajjuruwo wage mun hitanna danne nethi moda hethikare,Neg
oya gotata sahaya denne nethtnam paduwe inna minissunta ayalage gamana yawi onnenam kotinta udaw karana sajithta gotta allanna,Neg
judge board eke inna ona kenek kiyala mata hithenawa kasun umariya last moment wenakn inne show ekata wage b n s great,Neu
aiiye rs vage hoda pc ekk nadda,Neu
coach kasun uda giya thora gaddi,Pos
wow mamath oyalagema rasikayek,Pos
ayya maga asus gb grapic card eka bord ekata gahuwama mashin eka on wanna na galauwahama mashin eka on wanawa makata haathuwa mokakda,Neu
aetha kiyannath bima idagannath baya wenne aei neda akke,Neu
arawinda yanu darshanika adahas tiyana pudgalayek,Pos
ane pala gedara yanna h,Neg
oyata api godak aadare kelin katha karana saadaarana puthgalayek nisa oyage idiri veda katayuthu saarathaka venna prarthana katanava theruvan saranai,Pos
supiri kollek tamai ranja,Pos
mona de kalath sidda unath obala dan karana de gena kohethma sathutu nowemi kunuharupa markat karala hoyana salli walata wada hodai asuchi hodana eka godak ayata eka theren ne,Neg
harima watinawa thank you aiiye ,Pos
oka udema dannako ude idala balan inne,Neu
oba nathuwa mata inna baha wasthuwee adarei godak mage husband ilove ,Pos
kassa lesatama kiyanawa,Pos
awsh lassana video ekak,Pos
anith minihekuta asadarana wenakota eyi hamuduruwanta poduweng kathakaranda bheri,Neu
ela ela thadida mula amathaka na wasthi eke set ektama adarei jayawewa,Pos
alla kiyla dewiyk inwnm ohma krnne ai ara muslim aya bru allek aln apiwa knwa ykuu tika,Neu
hari eke ek interview ekkwath blala nha meka bluwa iwara wenkn ,Pos
kasadayak kedunoth kawadawath thawath pirimiyaku vivaha karaganna honda na daruwanta aniwaryen wenaskam karanawa e pirimiya,Neg
adaraniya gaurawaniya mawak,Pos
apita i pc ekak vath na chanux bro mara minihek ne,Neg
me parlimenthuwe inna kalakanni ayanam epa epa epa,Neg
ane ubala okkmao,Neu
oyanam super bullet ekak iraj,Pos
kee parak ahuwath athi wen na anthima tika,Pos
mage laptop ekata gatteth oya ssd ekemai,Pos
mamath muslim kenek eheth api lankikawun apita one saami kaamiwa hame jaathi ekkama sathutin inna hama muslim kenek ehema naha muslim warungeth hondha aya innawa api sinhala muslim okkama aadharayan jeewath wenna one,Pos
tava videoes one bitcoin gana,Pos
ado jayod good luck machan ,Pos
lankawe moda piriminge gon adahas thama wenas wela nahe,Neg
oya baila gahuwata oya wela wata wada karanne nethi kenek ekenma oya lost brother,Neg
mahinda rata beruwa kiyl uge paramprawta ape rata sinnakkara aithiyata pudgalika paribojanet liyala dunne na kauruth,Neg
apey lankawey samaha pirimita wayasa prashanak ne unta nadi wydunath athi sakkili ballo,Neg
aniwaryen me hamuwena hema drma eliyata dimen janaya denuwath veema wagema thrastha wadiya hema dema denagannawaeka podi prasnayk,Neg
mn me sinduwatath asai meke lyrics walatath kemathi godaak lassanai sinduwa,Pos
first unlike kiyala danne na ne mun ,Neg
voice lassanai ayeshmage wage variations thibba nm lassanai,Neu
aiya oya graphic card kama gb vision eka gahuwata prasnayak nadda,Neu
lahiru kumari akkata mudalin adara karoth kohomada mokada eya nisa adaki denek salli hoyanawada paw a charithe,Pos
machan ela kiri kollekube kathawa age karanawa ube kathawa akenma agaya karanawa job gana minissu gana ape lankawe gobba harak hithana widiha ganamun ,Pos
meka trending gahanawa loweth ,Pos
ane okkoma horu hamudapathi tuma rate janadipathi unanam hodai,Neu
niyama charithayak saha niyama vadasatahanak,Pos
janatawani me sarewath kisima kenekuta rawatenna epa bohoma kalpanakare wenna ona,Neu
mona aparadayakda me ai methumata mehema karanne pirihenawa dannam loku putu,Neg
sinduwa iwara wenakan balan hitapu kattiya ko balanna,Pos
hora gediyo wage video eka private kerla thibba neda ai admin oya ohoma kethai aah,Neg
sidhuwath hodai video ekata ganipu badda thamai wade abarana abarilla kohoma unath aiye oyage sindhuwath voice ekath gdk lassanai,Neu
hari tv thawa ponayo tikak genda ko,Neg
hodatama kiwwa e kolla,Pos
aluth wensak aiyh ekh ft,Pos
band eka kohomada gehilla,Neu
meyath horek wei wage kathawen terenewa kapati kama,Neg
jiwitheta wadagat godak dewal tiyanawa kathawa athule ,Pos
aiye office weda walata set wena aduma price wlata thiyna hoda lap ekk kiyannkow,Pos
godak wedagat kathabahak,Pos
oyata wecha deyam matath una etha thawam apith hodin daruwan denma ekka innawa,Pos
ada thamai dane thanks,Pos
koo varella lankawe innea poneyo tika awith baneppalla ,Neg
as walata kaduluth awa pissu hadena voice ekak,Pos
scole clz eke sinhalen katha kra kyna ekath pudumaysamanyen peters eke sinhalen katha krnna thahanamne,Neu
epa wenne ahuwata,Pos
chanaka oyata hoda anagathayk thiyenawa harima aasawen beluwe congratulations budusaranai ,Pos
harima wadagath lankawe anith ayath ekka balanakota,Pos
godak lassanaii lassana adarayak kella chapalaiy,Pos
salli nathi ekkenek wage pc eka hadala tyenne ,Neg
ape hamuduruwange prarthanawa esema ituweva saadu saadu saadutheruwan saranai,Pos
apitanm heenyak thama haba wennenm na kawadawath,Neg
grafild harima hora hora gediyek ,Neu
 aiye mama kiyane oyata mona unath oya oyage thiyana christian agama atha arina epa hondada,Neu
 api hithana tharam thawa duratath minissu moda na d katinma kiyawuna mun target karanne moda minissu,Neg
mekak ganna nam gemak gahannama wenwa,Neu
budda sasene pirihune nubala wage ewun nisa thamay bududahama berila thiyenne kagama sirinanda swamin la wage budda puthrayo nisa thamay ,Neg
mn lagadi set une channel ekata kaveesha ayyagen supiri supiri math hadanna inne pc ekak,Pos
 hitha hda awanka porak,Pos
me para the voice sri lanka meya kiyala hithenawa ,Pos
oba thumaga wada satahan hare asawan balanna oba thuma ta jasu pehetai,Pos
ape lankawe iwarai hamuduruwane,Neg
yako hama ekama kasun kasun kasun anith coach la asarana wenawa yako,Neu
kumari akka piliwelata katha karanawa,Pos
nodakinkn nodakin nodakin rahay tu,Neg
owa aduma melata koheda theyenne,Neu
b and s kiwwa widihata samanya janaya kemathi unata awasanayata star wenne ugura yatin kegahana melo wedak nethi kenek,Neg
iraj kiyanne rata kana ballek salli walata amama thaththa unath dala video ekak gahai pissek,Neg
kochchara ahuwath epa wenne nathi voice ekak comment dakiddi nm voice india wage wena aya sing kara mehema na ne,Pos
api hodatama asarana wela ape hamuduruwane,Neg
budusaranai oyalata neyamai neyamai godak lassanai harema adambarai mamat nuwara,Pos
lssna voice ekk maru,Pos
dan ekath thahanam kalane maha ponna anduwak lankawata thiyenne,Neg
jaya wewa ape eki batti congratulations macho ,Pos
hoda buddi math kamak hoda pahadli kirkman oyata jaya,Pos
obathuma kohe ipadunath gunayahapath kenek buddagama weladaganna hithune obe pinatai ane badina nona hodakenek unoth wasanawai ,Pos
anith eka kiyana ewa therenne naththe mt vitharada bn,Neg
mama dakka hodama announcer guest ta katha karanna dila nihadawa innawa,Pos
bane itin meka karanna welawata upload kare nathat baninawa welawata upload karama eka eka katha ahanawa  pawne ape admin akka oya owa ganna epa patiyo ,Neu
 adanm supri lassani okma,Pos
like ekak dammama eka watenne na bn,Neu
ado me pitupala yana data song eka kiyana kolla ne,Pos
ridi tharaka eke act krapu kolla ne,Neu
lassanai godak hadawatha pathulatama danuna,Pos
thamange nama kiyala thaman kataa karana aya selfish,Neg
ane palu baba thawath hoda brain washed ekak daganinn minissu mondayanta ganne epa,Neg
anea unea darmea uba dannea pukea,Neg
puduma denumak iwasimak thiyenne hitha gannawat be good luck,Pos
oya ge accident ekedi mamath oyata seth pathuwa ikman suwaya,Pos
kasun kalhara ubata sindu kiyanna ba ban eka nisa anith un judge karanna epa uba harakek wage mahath wela ,Neg
ova aran yanna puluvan katada vena ayata avankava yanna amarui,Pos
ganika wurthiyakdha buddhist hetiyata marana dhaduwam denna akamethi hebei ganika wurthi neethigatha karanna kemathi umbalage logic palayang ban yanna,Neg
 gobbayata mole kaldak na moda katha ,Neg
lassanai nathasa wage song ekath,Pos
ahan inna asai katha karaddi,Pos
handi gaane kiribath kana gobba wahalunge rata,Neg
meyata wada honda aya godak ain una,Neu
sahateka etta ape hamuduruwane teruwan saranai,Pos
ammo akki pissu hdenwa voice ektniymigd lck ,Pos
danatama dahasarayak withara ahuwe mn witharada ei ,Pos
ekakin dahak withara hoyanna puluwan masekata current bila k withara yanne,Neu
thushara mahathmaya oya pennana hema siddiyakma sahathika eththa,Neu
mn me build ekata kamathi naa emiva join kragatte nathi hinda unboxing ekakvath denna tibba,Neg
dan meke inna corch lath pissu ,Neg
kello pissu watila wage ,Pos
obawansea kata karane kunuarp nowedha mu gal karayak,Neg
gehangei dinogei jeewitha katha deka tikak eka wage,Neu
maths karala fail unath godak aya goda yanava great example tough guy,Pos
ane manda wena sinduwaka vishuwal ekak wage sinduwe teruma vishuwal eke kohewath ne,Neg
ane tele drama ekekatath ennekoo,Pos
oya build eka karanna nam ithin perum puranna wei,Neg
aiyo mama aiyage videos walata maara aasai habai mekata nam mama aasa naha mokada maath bus walata aasai aiyaa and aiya bus eke yana aya kamathi nam paddha paddha yanawata eccharai neh ,Neu
ada apathya kiyala dan athumaa lu patta bayai paw bn thawa aliyata awoth sir kiyai,Neg
web site eka mt ram card balaganna puluwan une ne video eka hodai ,Pos
siyuminige voice eka wage as ka piyagena ahanna puluwan ,Pos
karunakarala oya jel bola eliyata ganna katy tiyana etakota godak hodata kiyanna puluwan wae nanga,Neu
mona videoda bn mewa sinduwata gala penne nh ohoma video hadawahama sinduwata thiyana asawath nathi wenawa iiyaa,Neg
 me gon magule wene wadegath de nadde,Neg
nayakainta notherena supiri kathawak,Pos
budusaranai mage hamuduruwane,Pos
mun okkoma modayo,Neg
ogolongenmai hadhuwe super ekak dhaala,Pos
sathuta kiyanne kama un hiti than amathaka wela hitapu thanama ka gahila hina giya dakapu awyajama porak,Pos
adde kegalle kollek best of luck ayyah ,Pos
patta lassanai ahan inna asai phedili me wage gurutumiyak matath hitiyanam ada man koheda,Pos
mama tron doge coin minihg karanawa,Neu
coach shashikata supiri set ekak innawa dan,Pos
thambi minissungen vitharak neva pali gannay,Neg
anee chuti kellage dans aka ,Pos
pahadilyama oba thuma hoda garuka mahatthayek man godak garu karans kenek oba thumata jaya wewa budu saranii,Pos
thopi hengila krpuwa eliye sudda krnna hodann enn epa komath thopi serama depeththema inna kalakanni,Neg
neethiyata idak nethnam ape rate prasneta api pilithurak seveema kalauthui   obage gamanata asirwada wewa ,Pos
kamathima niwedakaya kata hata ahunath athi bs,Pos
cloud mining walata hodama web site eka mokadda aiya,Neu
ape sinhala baudda aya hodata danaganna mun thawath parlimant yawanawada kiyala ekekta chande denna epa pleas,Neg
super voice ahan inna harima asai a wagema voice akak super ,Pos
okanam voice global yanava january vala jaya veva,Pos
social media gana kiwwa dae godak aththa,Pos
mona de kalath jeewita oba natuwa enna ba wastwa,Neu
lasnta sing kra chalana ayye all the best,Pos
tadeya wedak ne wasti den video upload karan ne ne,Neu
thnx ayye mine karana video ekakuth karannako hoda software ekakuth ekka honda gpu card tikakuth kiyanna,Pos
hora gediya aiya neda mee amme a voice akamai tamai deiyo bend aka maru ,Pos
nuba gane apeta adamberai   malli sinhelayan venuven katha kerena nubeta jaya niyathai nubeta pin budusaranai,Pos
thoranna hithagena awe umariyawa harune nathi nisai shashikawa thoragatte habai kiyanne ona umariya sing karanaata wada hodata sing kara,Pos
puluwan nm hoda site tikak danna ligal tikak,Neu
thawa oya wage videoth demmanan supirie,Pos
mama hituwe hena Posh dayal akk kiyala hebi hena hadawath tiyana supiri charithayak,Neu
rjanan baya natuwa atta kata karanawa maga puta kamatima desapalannya,Pos
yathrawa yali yatha thathweta genimata shkthiya dairya lebewaa,Pos
me akkage kalin video balala thiyena aya,Neu
lahir oya harima hodai,Pos
